TradingSymbol,Date,EntryPrice,ExitPrice,Qty,ProfitLoss,Transaction,ExitType,Cumulative
BANKNIFTY21N0339700CE,03/11/2021,204.10 Time:01:56,285.70 Time:01:57,25,-2040.00,SELL,SHORT_SL,-2040.00
BANKNIFTY21N0339800CE,03/11/2021,235.25 Time:01:58,70.55 Time:02:17,25,4117.50,SELL,SHORT_TARGET,4117.50
BANKNIFTY21N1139300CE,08/11/2021,485.90 Time:09:17,497.40 Time:03:26,25,-287.50,SELL,SQUAREOFF,-287.50
BANKNIFTY21N1139300CE,09/11/2021,416.50 Time:09:17,370.00 Time:03:26,25,1162.50,SELL,SQUAREOFF,875.00
BANKNIFTY21N1139500PE,08/11/2021,389.85 Time:09:17,545.75 Time:09:22,25,-3897.50,SELL,SHORT_SL,-3897.50
BANKNIFTY21N1139500PE,09/11/2021,340.00 Time:09:17,265.00 Time:03:26,25,1875.00,SELL,SQUAREOFF,-2022.50
BANKNIFTY21N1139300PE,08/11/2021,416.90 Time:09:23,583.70 Time:11:35,25,-4170.00,SELL,SHORT_SL,-4170.00
BANKNIFTY21N1139000PE,08/11/2021,403.35 Time:11:36,121.05 Time:02:39,25,7057.50,SELL,SHORT_TARGET,7057.50
BANKNIFTY21N1139000PE,10/11/2021,303.60 Time:09:46,182.35 Time:03:26,25,3031.25,SELL,SQUAREOFF,10088.75
BANKNIFTY21N1139600PE,08/11/2021,315.00 Time:02:40,287.70 Time:03:26,25,682.50,SELL,SQUAREOFF,682.50
BANKNIFTY21N1139000CE,10/11/2021,330.25 Time:09:17,222.30 Time:03:26,25,2698.75,SELL,SQUAREOFF,2698.75
BANKNIFTY21N1139200PE,10/11/2021,317.00 Time:09:17,443.80 Time:09:45,25,-3170.00,SELL,SHORT_SL,-3170.00
BANKNIFTY21N1138700CE,11/11/2021,238.60 Time:09:17,71.60 Time:12:41,25,4175.00,SELL,SHORT_TARGET,4175.00
BANKNIFTY21N1138900PE,11/11/2021,231.00 Time:09:17,323.40 Time:12:14,25,-2310.00,SELL,SHORT_SL,-2310.00
BANKNIFTY21N1138700PE,11/11/2021,182.45 Time:12:15,255.45 Time:01:54,25,-1825.00,SELL,SHORT_SL,-1825.00
BANKNIFTY21N1138700PE,11/11/2021,162.35 Time:02:57,137.10 Time:03:26,25,631.25,SELL,SQUAREOFF,-1193.75
BANKNIFTY21N1138400CE,11/11/2021,218.55 Time:12:42,305.95 Time:01:14,25,-2185.00,SELL,SHORT_SL,-2185.00
BANKNIFTY21N1138400CE,11/11/2021,163.85 Time:02:35,162.00 Time:03:26,25,46.25,SELL,SQUAREOFF,-2138.75
BANKNIFTY21N1138500CE,11/11/2021,219.40 Time:01:15,65.80 Time:02:14,25,3840.00,SELL,SHORT_TARGET,3840.00
BANKNIFTY21N1138600PE,11/11/2021,196.20 Time:01:55,58.90 Time:02:56,25,3432.50,SELL,SHORT_TARGET,3432.50
BANKNIFTY21N1138300CE,11/11/2021,192.15 Time:02:15,269.05 Time:02:34,25,-1922.50,SELL,SHORT_SL,-1922.50
